Parameter,Status,Config key (YAML/JSON),Default / Example,Device value (Volcano s5i — from Service Manual),Source,Description,Code location & notes
F-number,Config,probe.f_num,1.0,N/A for IVUS (superseded by element_radius_mm + focal_length_mm),—,F# = focal length / aperture; sets lateral PSF for non-IVUS probes,"BaseProbe::f_num_."
Probe width,Config,probe.width_mm,0.0,N/A for IVUS (point source),—,Active aperture width for linear / phased / curvilinear probes,"BaseProbe::width_."
Probe pose,Config,probe.pose,"{position:[0,0,0], rotation:[0,0,0]}",Per frame (set by motion/pullback layer),—,World pose of the probe origin and orientation,"raysim::Pose. Updated externally for pullback (see Deferred)."
,,,,,,,
"--- SIM PARAMETERS (per-frame) ---",,,,,,,
Imaging depth (radial),Config,sim.t_far_mm,5.0,"20 MHz catheters: D ∈ {8,10,12,14,16,18,20} mm → t_far = D/2 = 4–10 mm. Visions PV .018: {10..24} mm → 5–12 mm. PV 8.2F (10 MHz): {20..60} mm → 10–30 mm.",Manual p.165,Maximum ray distance; for IVUS the displayed diameter ≈ 2·t_far,"SimParams::t_far. UI selects discrete 'Diameter' values."
RF buffer size,Config,sim.buffer_size,4096,Not specified in manual (system uses 12-bit IQ ADC; effective sample count depends on diameter),Manual p.135 (12-bit ADC),Axial sample count per A-line,"SimParams::buffer_size."
Output image size,Config,sim.b_mode_size,"[256, 1024]",Max IVUS = 750 × 750 pixels (final polar disc),Manual p.171,B-mode image size; for IVUS = (angle pixels x depth pixels) of unwrapped image,"SimParams::b_mode_size. For 750×750 polar disc, downstream remap fills the disc."
Max reflection depth,Config,sim.max_reflection_depth,15,Sim setting (no equivalent in device firmware),—,Maximum reflection/refraction bounces per ray,"SimParams::max_depth. Secondary reflections currently disabled in optix_trace.cu."
Min-intensity ray cutoff,Config,sim.min_intensity,1e-3,Sim setting,—,Threshold below which secondary rays are pruned,"SimParams::min_intensity."
Contact epsilon,Config,sim.contact_epsilon_mm,0.0,N/A for IVUS (full 360° contact in blood),—,Black out elements whose first hit is farther than ε mm; useful for partial-contact probes,"SimParams::contact_epsilon."
PSF convolution flag,Config,sim.conv_psf,true,On (always — device produces a band-limited image),—,Toggles PSF convolution on the raw RF data,"SimParams::conv_psf."
Median clip filter flag,Config,sim.median_clip_filter,true,On (sim default; device uses analogous speckle-reduction post-processing),—,Vertical median + clamp; reduces salt-and-pepper speckle,"SimParams::median_clip_filter."
,,,,,,,
"--- TISSUE / MATERIAL CATALOG ---",,,,,,,
Per-tissue acoustic impedance,Config,materials[].impedance_mrayl,"lumen 1.68, vessel_wall 1.82, extravascular 1.62",Not provided by the device (literature),Literature / measurement,Sets reflection coefficient at every interface (correct oblique formula now used),"Material::impedance_ in material.cpp. Extend with calcium / fibrous plaque / lipid pool."
Per-tissue speed of sound,Config,materials[].speed_of_sound_m_per_s,"lumen 1584, vessel_wall 1571, extravascular 1547",Not provided (literature; calibration uses 1540 in water),Literature / measurement,Used for refraction (Snell) and TIR check,"Material::speed_of_sound_."
Per-tissue attenuation (effective),Config,materials[].attenuation_db_per_cm_mhz,"lumen 0.2, vessel_wall 1.0, extravascular 0.7",Not provided (literature; co-fit with TGC),Literature / measurement (depth-decay fit),Beer–Lambert frequency-linear attenuation,"Material::attenuation_, applied in optix_trace.cu::get_intensity_at_distance."
Per-tissue scattering — mu0,Config,materials[].mu0,0.1–0.7,Not provided (literature / fit),Measurement (speckle stats),Density of volumetric scatterers (texture threshold),"Material::mu0_."
Per-tissue scattering — mu1,Config,materials[].mu1,0.0–0.9,Not provided (literature / fit),Measurement,Secondary scatter density,"Material::mu1_."
Per-tissue scattering — sigma,Config,materials[].sigma,0.0–0.5,Not provided (literature / fit),Measurement,Amplitude of scattered echoes (speckle brightness),"Material::sigma_."
Per-tissue specularity,Config,materials[].specularity,0.0–1e-5,Not provided,Measurement,Cosine power for specular reflection at interfaces,"Material::specularity_."
,,,,,,,
"--- PROCESSING (B-mode pipeline) ---",,,,,,,
Scattering resolution (speckle scale),Config,processing.scattering_resolution_mm,10 (IVUS) / 50 (abdominal),Not provided (fit speckle correlation length on cystic phantom),Measurement,Voxel scale for sampling the 3D scatter texture; sets speckle correlation length,"params.scattering_resolution_mm. Currently hard-coded by probe type; expose via SimParams."
Scatter integral scale,Config,processing.scatter_integral_scale,40,Not provided (empirical),Empirical,Brightness scale for the scatter integral so tissue is visible against reflections,"params.scatter_integral_scale. Currently hard-coded to 40; expose via SimParams."
TGC control points,Config,processing.tgc_control_points,"[[0, 0], [1, 2]]","UI-tunable; manual does not publish a TGC table. Adjust to match device output on a uniform phantom.",Manual (UI)+ measurement,Depth (cm) → gain (dB) breakpoints; depth-dependent gain to compensate attenuation,"create_piece_wise_tgc, hard-coded in simulate(). Expose via SimParams."
Overall gain,Config,processing.gain_db,0.0,"Operator slider 0–68 (calibration values: 20 / 50 / 68 used in test procedure)",Manual p.110 (calibration steps),Scalar amplification of received signal (brightness control),"NOT YET implemented — add as a linear pre-multiplier or log-domain offset before log_compression."
Log-compression multiplier,Config,processing.log_multiplier,20,Not provided directly (system uses log compression; expose to fit display),Measurement / preset,The k in k·log10(x) compression,"cuda_algorithms::log_compression(..., 20.f, ...). Hard-coded; expose."
Log-compression floor,Config,processing.log_floor,1e-19,Not provided,Measurement / preset,Minimum-value clamp before log,"cuda_algorithms::log_compression(..., 1e-19f, ...). Hard-coded; expose."
Median clip kernel size,Config,processing.median_clip.size,5,Not provided,Sim setting,Median filter kernel size (odd),"cuda_algorithms::median_clip_filter(..., 5, ...). Hard-coded; expose."
Median clip d_min,Config,processing.median_clip.d_min_db,-60.0,Not provided,Sim setting,Lower clamp (dB) of median-clip filter,"cuda_algorithms::median_clip_filter(..., -60.0f, ...). Hard-coded; expose."
Median clip d_max,Config,processing.median_clip.d_max_db,0.0,Not provided,Sim setting,Upper clamp (dB) of median-clip filter,"cuda_algorithms::median_clip_filter(..., 0.0f, ...). Hard-coded; expose."
,,,,,,,
"--- FUTURE (in scope for this sim; not implemented yet — must be added) ---",,,,,,,
Dynamic range,Future,processing.dynamic_range_db,60,Not published,Measurement (histogram),Range of signal intensities preserved after log compression,"NOT implemented separately — currently coupled to log_floor and median_clip range."
Reject / black level,Future,processing.reject_db,-80,Not published,Measurement,Display threshold below which signals are clipped to black,"NOT implemented as a tunable; partially approximated by min_intensity and median d_min."
Compression curve (LUT),Future,processing.compression_lut,null,"Device uses a 256-entry grayscale palette (manual p.141: '11..239: grayscale'); could be matched as a LUT.",Manual p.141 + measurement,Optional non-log mapping (S-curve / arbitrary LUT) replacing 20·log10,"NOT implemented; replace cuda_algorithms::log_compression with a LUT pass when provided."
Additive RF noise — type,Future,processing.noise.type,gaussian,Not published — fit lumen σ from device images,Measurement (lumen σ),Distribution of additive system noise on RF,"NOT implemented. Inject before envelope detection (Hilbert)."
Additive RF noise — sigma,Future,processing.noise.sigma,0.0,Not published — fit from lumen ROI,Measurement,Noise amplitude (linear units of scanline buffer),"NOT implemented."
Ring-down — amplitude,Future,processing.ring_down.amplitude,0.0,"User-toggleable on the device (Console: 'Ring Down On/Off'); device removes it via 'Acoustic reference' subtraction. Manual: 'caused by acoustic and RF signal crosstalk between neighboring elements + innate physical properties of ultrasound crystals.' Magnitude not published — measure peak amplitude in a water/lumen ROI.",Manual p.20 / p.190 + measurement,Peak amplitude of the catheter ring-down bias on each A-line,"NOT implemented. Add a depth-dependent additive bias to the inner few mm of every scanline before envelope detection."
Ring-down — extent,Future,processing.ring_down.extent_mm,0.5,"Inner ~1–2 mm of every A-line (estimated from manual: 'collection area' is checked at Diameter=16 mm at max gain (68) for near-field echoes — extent measured by where these echoes vanish).",Manual p.110 (NearVu/ring-down test) + measurement,Depth over which the ring-down bias decays,"NOT implemented. Defines the depth range of the additive bias."
Ring-down — decay shape,Future,processing.ring_down.decay,exponential,"Empirical (fit measured A-line). Device subtracts a learned 'Acoustic reference' template, suggesting a deterministic, reproducible waveform per catheter.",Manual p.190 (Acoustic reference) + measurement,"Shape of the ring-down envelope: exponential | hanning | measured",NOT implemented. Used together with amplitude + extent.
Ring-down — measured waveform path,Future,processing.ring_down.waveform_path,null,"Recommended path. Device acquires this once per catheter as the 'Acoustic reference' for subtraction; the simulator should accept the same kind of measured waveform (e.g. mean A-line in clean lumen at high gain).",Manual p.190 + measurement,Optional path to a measured A-line ring-down waveform; overrides parametric form,"NOT implemented. Loaded as a 1D float kernel resampled to the 40 MHz grid."
Ring-down — subtraction mode,Future,processing.ring_down.subtract_reference,true,"Device default behavior: ring-down is suppressed by Acoustic-reference subtraction (manual p.190). Provide both 'inject' and 'subtract' modes for forward modelling and post-processing studies.",Manual p.190,Whether the ring-down bias is injected (forward) or subtracted (post-processing) in the sim,NOT implemented.
Impulse response (measured pulse),Future,probe.impulse_response_path,null,Not published; measure with a flat reflector,Measurement (reflector),Optional measured pulse waveform overriding the parametric axial PSF,"NOT implemented. Replaces create_ivus_axial_psf_causal / create_gaussian_psf when provided."
Synthetic-aperture beamforming,Future,probe.synthetic_aperture,false,"On (device is a 64-element solid-state SA array; reconstructs ~256 A-lines)",Manual p.135 + p.165,Coherent combination of subaperture firings,"NOT implemented in raysim — current IVUSProbe is a single rotating focused element. Adding SA would change near-field PSF shape and the element-vs-A-line mapping; high priority for matching s5i."
Ray sampling frequency,Future,sim.sampling_freq_mhz,40,12-bit IQ ADC; sample rate not published in service manual,Manual p.135 (12-bit ADC),Time/depth resolution of the RF buffer,"Hard-coded SAMPLING_FREQ = 40e6f in raytracing_ultrasound_simulator.{hpp,cpp}. Expose if device sampling rate differs."
,,,,,,,
"--- DEFERRED (handled by a later/sister sim layer; not part of per-frame raysim config) ---",,,,,,,
Frame rate,Deferred,—,"10 / 15 / 30 fps","20 MHz catheters: Maximum 30 fps (90 s loop) / Medium 15 fps (180 s) / Minimum 10 fps (270 s)",Manual p.108,Frames per second,Acquisition / temporal layer. simulate() is per-frame; throughput is GPU-bound.
Scanline rate,Deferred,—,frame_rate × scanlines,30 fps × 256 ≈ 7.7 kHz (max for 20 MHz catheters),Manual (derived),A-lines per second,Acquisition / temporal layer.
PRF (pulse repetition frequency),Deferred,—,From RF timing,Not published; bounded by max imaging depth (e.g. ~150 kHz for 20 mm round-trip in tissue),Derived from t_far / c,Pulse repetition rate; bounds max imaging depth,Acquisition / temporal layer.
Pullback speed,Deferred,—,From procedure log,"0.5 mm/s used in service-manual calibration; clinical typical 0.5–1.0 mm/s",Manual p.111 (calibration test),Catheter withdrawal speed,Motion layer. Apply by stepping probe.pose between simulate() calls.
ADC resolution,Deferred,—,12-bit,"12-bit IQ ADC (Meridian Analog board → 12-bit dual digital data stream)",Manual p.135,Digitization precision / quantization noise,Acquisition / digitization layer. Add as a quantization step on the scanline buffer if needed.
ADC sampling rate,Deferred,—,Not published,Not published in service manual,Manual,Sample rate of the 12-bit ADC,Acquisition / digitization layer.
