Parameter,Status,Config key (YAML/JSON),Default / Example,Device value (Volcano s5i — from Service Manual),Source / Experiment,Description,Code location & notes
F-number,Config,probe.f_num,1.0,N/A for IVUS (superseded by element_radius_mm + focal_length_mm),Derived (= focal_length / 2·element_radius); set from E2,F# = focal length / aperture; sets lateral PSF for non-IVUS probes,"BaseProbe::f_num_."
Probe width,Config,probe.width_mm,0.0,N/A for IVUS (point source),Sim setting (non-IVUS only),Active aperture width for linear / phased / curvilinear probes,"BaseProbe::width_."
Probe pose,Config,probe.pose,"{position:[0,0,0], rotation:[0,0,0]}",Per frame (set by motion/pullback layer),Sim runtime (motion layer),World pose of the probe origin and orientation,"raysim::Pose. Updated externally for pullback (see Deferred)."
,,,,,,,
"--- SIM PARAMETERS (per-frame) ---",,,,,,,
Imaging depth (radial),Config,sim.t_far_mm,5.0,"20 MHz catheters: D ∈ {8,10,12,14,16,18,20} mm → t_far = D/2 = 4–10 mm. Visions PV .018: {10..24} mm → 5–12 mm. PV 8.2F (10 MHz): {20..60} mm → 10–30 mm.",Manual p.165,Maximum ray distance; for IVUS the displayed diameter ≈ 2·t_far,"SimParams::t_far. UI selects discrete 'Diameter' values."
RF buffer size,Config,sim.buffer_size,4096,Not specified (12-bit IQ ADC; sample count depends on diameter),"E1 — Pulse-echo capture (count axial samples in raw RF stream)",Axial sample count per A-line,"SimParams::buffer_size."
Output image size,Config,sim.b_mode_size,"[256, 1024]",Max IVUS = 750 × 750 pixels (final polar disc),Manual p.171,B-mode image size; for IVUS = (angle pixels x depth pixels) of unwrapped image,"SimParams::b_mode_size. For 750×750 polar disc, downstream remap fills the disc."
Max reflection depth,Config,sim.max_reflection_depth,15,Sim setting (no equivalent in device firmware),Sim setting,Maximum reflection/refraction bounces per ray,"SimParams::max_depth. Secondary reflections currently disabled in optix_trace.cu."
Min-intensity ray cutoff,Config,sim.min_intensity,1e-3,Sim setting,Sim setting,Threshold below which secondary rays are pruned,"SimParams::min_intensity."
Contact epsilon,Config,sim.contact_epsilon_mm,0.0,N/A for IVUS (full 360° contact in blood),Sim setting,Black out elements whose first hit is farther than ε mm; useful for partial-contact probes,"SimParams::contact_epsilon."
PSF convolution flag,Config,sim.conv_psf,true,On (device produces a band-limited image),Sim setting,Toggles PSF convolution on the raw RF data,"SimParams::conv_psf."
Median clip filter flag,Config,sim.median_clip_filter,true,On (sim default; device uses analogous speckle-reduction post-processing),Sim setting,Vertical median + clamp; reduces salt-and-pepper speckle,"SimParams::median_clip_filter."
,,,,,,,
"--- TISSUE / MATERIAL CATALOG ---",,,,,,,
Per-tissue acoustic impedance,Config,materials[].impedance_mrayl,"lumen 1.68, vessel_wall 1.82, extravascular 1.62",Not provided by the device,"E8 — Tissue/material fit (interface reflection magnitudes); Literature priors",Sets reflection coefficient at every interface (correct oblique formula now used),"Material::impedance_ in material.cpp. Extend with calcium / fibrous plaque / lipid pool."
Per-tissue speed of sound,Config,materials[].speed_of_sound_m_per_s,"lumen 1584, vessel_wall 1571, extravascular 1547",Not provided (device calibration uses 1540 in water),"E8 — Tissue/material fit (TOF through known thickness); Literature priors",Used for refraction (Snell) and TIR check,"Material::speed_of_sound_."
Per-tissue attenuation (effective),Config,materials[].attenuation_db_per_cm_mhz,"lumen 0.2, vessel_wall 1.0, extravascular 0.7",Not provided,"E4 — Uniform attenuation phantom + E8 (per-tissue fit; co-fit with TGC)",Beer–Lambert frequency-linear attenuation,"Material::attenuation_, applied in optix_trace.cu::get_intensity_at_distance."
Per-tissue scattering — mu0,Config,materials[].mu0,0.1–0.7,Not provided,"E5 — Cyst phantom + E8 (speckle stats fit)",Density of volumetric scatterers (texture threshold),"Material::mu0_."
Per-tissue scattering — mu1,Config,materials[].mu1,0.0–0.9,Not provided,"E5 — Cyst phantom + E8 (speckle stats fit)",Secondary scatter density,"Material::mu1_."
Per-tissue scattering — sigma,Config,materials[].sigma,0.0–0.5,Not provided,"E5 — Cyst phantom + E8 (speckle stats fit)",Amplitude of scattered echoes (speckle brightness),"Material::sigma_."
Per-tissue specularity,Config,materials[].specularity,0.0–1e-5,Not provided,"E8 — Tissue/material fit (interface cos^n vs incidence angle)",Cosine power for specular reflection at interfaces,"Material::specularity_."
,,,,,,,
"--- PROCESSING (B-mode pipeline) ---",,,,,,,
Scattering resolution (speckle scale),Config,processing.scattering_resolution_mm,10 (IVUS) / 50 (abdominal),Not provided,"E5 — Cyst phantom (autocorrelation length of speckle in uniform region)",Voxel scale for sampling the 3D scatter texture; sets speckle correlation length,"params.scattering_resolution_mm. Currently hard-coded by probe type; expose via SimParams."
Scatter integral scale,Config,processing.scatter_integral_scale,40,Not provided (empirical),"E5 — Cyst phantom (match tissue mean intensity to device image)",Brightness scale for the scatter integral so tissue is visible against reflections,"params.scatter_integral_scale. Currently hard-coded to 40; expose via SimParams."
TGC control points,Config,processing.tgc_control_points,"[[0, 0], [1, 2]]","UI-tunable; manual does not publish a TGC table",E4 — Uniform attenuation phantom (fit TGC to flatten depth-vs-intensity at default settings),Depth (cm) → gain (dB) breakpoints; depth-dependent gain to compensate attenuation,"create_piece_wise_tgc, hard-coded in simulate(). Expose via SimParams."
Overall gain,Config,processing.gain_db,0.0,Operator slider 0–68 (calibration: 20 / 50 / 68),"Manual p.110 + E7 — Grayscale step-target (slider 0/20/50/68 → measured dB step) to map to gain_db",Scalar amplification of received signal (brightness control),"NOT YET implemented — add as a linear pre-multiplier or log-domain offset before log_compression."
Log-compression multiplier,Config,processing.log_multiplier,20,Not provided directly,"E7 — Grayscale step-target (slope of displayed-grayscale vs log10(RF amplitude))",The k in k·log10(x) compression,"cuda_algorithms::log_compression(..., 20.f, ...). Hard-coded; expose."
Log-compression floor,Config,processing.log_floor,1e-19,Not provided,"E7 — Grayscale step-target (lowest amplitude that maps to displayed black)",Minimum-value clamp before log,"cuda_algorithms::log_compression(..., 1e-19f, ...). Hard-coded; expose."
Median clip kernel size,Config,processing.median_clip.size,5,Not provided,Sim setting (tune to match device speckle reduction visually),Median filter kernel size (odd),"cuda_algorithms::median_clip_filter(..., 5, ...). Hard-coded; expose."
Median clip d_min,Config,processing.median_clip.d_min_db,-60.0,Not provided,Sim setting,Lower clamp (dB) of median-clip filter,"cuda_algorithms::median_clip_filter(..., -60.0f, ...). Hard-coded; expose."
Median clip d_max,Config,processing.median_clip.d_max_db,0.0,Not provided,Sim setting,Upper clamp (dB) of median-clip filter,"cuda_algorithms::median_clip_filter(..., 0.0f, ...). Hard-coded; expose."
,,,,,,,
"--- FUTURE (in scope for this sim; not implemented yet — must be added) ---",,,,,,,
Dynamic range,Future,processing.dynamic_range_db,60,Not published,"E7 — Grayscale step-target (top echo dB minus noise-floor dB from histogram)",Range of signal intensities preserved after log compression,"NOT implemented separately — currently coupled to log_floor and median_clip range."
Reject / black level,Future,processing.reject_db,-80,Not published,"E5 — Cyst phantom + E7 (lowest dB that remains visible / is clipped to black)",Display threshold below which signals are clipped to black,"NOT implemented as a tunable; partially approximated by min_intensity and median d_min."
Compression curve (LUT),Future,processing.compression_lut,null,256-entry grayscale palette (Manual p.141: '11..239: grayscale'),Manual p.141 + E7 — Grayscale step-target (RF amplitude → palette index LUT),Optional non-log mapping (S-curve / arbitrary LUT) replacing 20·log10,"NOT implemented; replace cuda_algorithms::log_compression with a LUT pass when provided."
Additive RF noise — type,Future,processing.noise.type,gaussian,Not published,"E5 — Cyst phantom (histogram of pre-envelope samples in anechoic ROI)",Distribution of additive system noise on RF,"NOT implemented. Inject before envelope detection (Hilbert)."
Additive RF noise — sigma,Future,processing.noise.sigma,0.0,Not published,"E5 — Cyst phantom (σ of pre-envelope samples in anechoic ROI)",Noise amplitude (linear units of scanline buffer),"NOT implemented."
Ring-down — amplitude,Future,processing.ring_down.amplitude,0.0,User-toggleable; magnitude not published,"E6 — Ring-down capture (catheter in clean water; peak A-line amplitude in inner few mm with Acoustic Reference OFF)",Peak amplitude of the catheter ring-down bias on each A-line,"NOT implemented. Add a depth-dependent additive bias to the inner few mm of every scanline before envelope detection."
Ring-down — extent,Future,processing.ring_down.extent_mm,0.5,Inner ~1–2 mm of every A-line,"E6 — Ring-down capture (depth at which inner-mm bias drops below noise floor)",Depth over which the ring-down bias decays,"NOT implemented. Defines the depth range of the additive bias."
Ring-down — decay shape,Future,processing.ring_down.decay,exponential,Empirical (fit measured A-line),"E6 — Ring-down capture (fit exponential / Hanning to mean A-line; or use measured)",Shape of the ring-down envelope: exponential | hanning | measured,NOT implemented. Used together with amplitude + extent.
Ring-down — measured waveform path,Future,processing.ring_down.waveform_path,null,"Device's 'Acoustic reference' template (Manual p.190)","E6 — Ring-down capture (mean A-line in clean water at high gain = device's Acoustic Reference)",Optional path to a measured A-line ring-down waveform; overrides parametric form,"NOT implemented. Loaded as a 1D float kernel resampled to the 40 MHz grid."
Ring-down — subtraction mode,Future,processing.ring_down.subtract_reference,true,Device default (Acoustic-reference subtraction; Manual p.190),Manual p.190 (device behavior); no measurement needed,Whether the ring-down bias is injected (forward) or subtracted (post-processing) in the sim,NOT implemented.
Impulse response (measured pulse),Future,probe.impulse_response_path,null,Not published,"E1 — Pulse-echo capture (full A-line waveform from flat reflector at known depth)",Optional measured pulse waveform overriding the parametric axial PSF,"NOT implemented. Replaces create_ivus_axial_psf_causal / create_gaussian_psf when provided."
Synthetic-aperture beamforming,Future,probe.synthetic_aperture,false,On (device is 64-element solid-state SA array),Manual p.135 + p.165 (device behavior); validate effect with E2 PSF,Coherent combination of subaperture firings,"NOT implemented in raysim — current IVUSProbe is a single rotating focused element. Adding SA would change near-field PSF shape and the element-vs-A-line mapping; high priority for matching s5i."
Ray sampling frequency,Future,sim.sampling_freq_mhz,40,12-bit IQ ADC; sample rate not published,"Manual p.135 (12-bit ADC) + E1 (count samples per known-depth round trip)",Time/depth resolution of the RF buffer,"Hard-coded SAMPLING_FREQ = 40e6f in raytracing_ultrasound_simulator.{hpp,cpp}. Expose if device sampling rate differs."
,,,,,,,
"--- DEFERRED (handled by a later/sister sim layer; not part of per-frame raysim config) ---",,,,,,,
Frame rate,Deferred,—,"10 / 15 / 30 fps","20 MHz catheters: 30 fps (90 s loop) / 15 fps (180 s) / 10 fps (270 s)",Manual p.108 + E9 — Acquisition timing log (verify),Frames per second,Acquisition / temporal layer. simulate() is per-frame; throughput is GPU-bound.
Scanline rate,Deferred,—,frame_rate × scanlines,30 fps × 256 ≈ 7.7 kHz (max for 20 MHz catheters),Derived; verify with E9,A-lines per second,Acquisition / temporal layer.
PRF (pulse repetition frequency),Deferred,—,From RF timing,Not published,"E9 — Acquisition timing log (Δt between A-line trigger pulses)",Pulse repetition rate; bounds max imaging depth,Acquisition / temporal layer.
Pullback speed,Deferred,—,From procedure log,"0.5 mm/s used in calibration; clinical typical 0.5–1.0 mm/s",Manual p.111 + procedure log,Catheter withdrawal speed,Motion layer. Apply by stepping probe.pose between simulate() calls.
ADC resolution,Deferred,—,12-bit,12-bit IQ ADC,Manual p.135,Digitization precision / quantization noise,Acquisition / digitization layer. Add as a quantization step on the scanline buffer if needed.
ADC sampling rate,Deferred,—,Not published,Not published,"E1 / E9 — Pulse-echo or RF timing log (count samples per known round-trip)",Sample rate of the 12-bit ADC,Acquisition / digitization layer.
